,год,время_года,климат,город,страна,способ_охлаждения,режим_при_смешанном_типе_охлаждения,способ_обогрева,возраст,пол,ощущение_температуры,ощущение_температуры_(bool),предпочтительное_изменение_температуры,ощущение_движения_воздуха_(bool),предпочтительное_изменение_движения_воздуха,оценка_комфорта,утепление,температура_воздуха_в_помещении,rh,скорость_воздуха,рост,вес,занавески,вентилятор,окно,двери,среднемесячная_температура_на_улице,количество_рекламаций,countmen,реклам_категория,возрастная_категория,precent_satisf,стандр_комф_вл
35,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,51,Женский,-2.0,1.0,Без изменений,,Без изменений,6.0,0.61,24.3,38.0,0.11,170.2,63.0,0.0,0.0,0.0,0.0,28.9,0,1,мало,средний возраст,53,not OK
36,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,50,Женский,-1.0,0.0,Теплее,,Без изменений,2.0,0.57,23.8,43.6,0.35,170.2,63.0,1.0,1.0,0.0,0.0,32.8,1,1,мало,средний возраст,53,OK
37,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,39,Женский,1.2,0.0,Холоднее,,Больше,2.3,0.57,26.2,30.8,0.08,170.2,63.0,0.0,0.0,0.0,0.0,32.8,1,1,мало,молодой возраст,53,not OK
38,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,35,Женский,-2.0,1.0,Без изменений,,Без изменений,6.0,0.61,24.1,39.5,0.14,170.2,63.0,0.0,0.0,0.0,0.0,28.9,0,1,мало,молодой возраст,53,not OK
39,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,35,Женский,0.0,1.0,Без изменений,,Без изменений,3.5,0.61,24.4,37.4,0.14,170.2,63.0,1.0,1.0,0.0,0.0,28.9,0,1,мало,молодой возраст,53,not OK
40,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,34,Женский,0.0,1.0,Без изменений,,Больше,5.0,0.61,23.9,43.2,0.19,170.2,63.0,1.0,1.0,0.0,0.0,31.7,0,1,мало,молодой возраст,53,OK
41,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,46,Женский,-1.0,0.0,Теплее,,Без изменений,3.5,0.61,24.0,41.0,0.14,170.2,63.0,1.0,1.0,0.0,0.0,28.9,0,1,мало,средний возраст,53,OK
42,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,58,Женский,-2.0,1.0,Без изменений,,Без изменений,6.0,0.61,24.1,38.1,0.12,170.2,63.0,0.0,0.0,0.0,0.0,28.9,0,1,мало,средний возраст,53,not OK
43,2011,Лето,Cубтропический океанический,Техас,США,Кондиционирование,нет,нет,23,Женский,1.0,0.0,Холоднее,,Больше,3.0,0.61,24.7,39.5,0.18,170.2,63.0,0.0,0.0,0.0,0.0,31.7,1,1,мало,молодой возраст,53,not OK
44,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55,Женский,-1.0,0.0,Теплее,0.0,Меньше,,0.54,24.4,56.1,0.18,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,средний возраст,57,OK
45,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55,Женский,0.0,1.0,Без изменений,1.0,Без изменений,,0.59,25.3,74.0,0.04,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,средний возраст,57,not OK
46,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55,Мужской,1.0,1.0,Без изменений,1.0,Без изменений,,0.43,25.7,60.7,0.14,170.2,63.0,0.0,1.0,1.0,0.0,22.0,0,1,мало,средний возраст,78,not OK
47,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,25,Женский,0.0,1.0,Без изменений,1.0,Без изменений,,0.43,24.5,56.8,0.11,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,молодой возраст,57,OK
